Стимул,Реакція,Кількість реакцій,Загальна кількість реакцій,Кількість найчастіших реакцій
хотітися,бажати,6,,
хотітися,їсти,3,,
цікавий,фільм,17,113,33
цікавий,співрозмовник,9,,
цікавий,книга,7,,
цікавити,когось,21,113,38
цікавити,людей,10,,
цікавити,інтерес,7,,
цікавитися,кимось,5,113,13
цікавитися,людиною,4,,
цікавитися,музикою,4,,
цікавість,інтерес,12,110,24
цікавість,допитливість,7,,
цікавість,велика,5,,
цікаво,знати,14,98,28
цікаво,читати,8,,
цікаво,слухати,6,,
час,годинник,13,110,32
час,година,10,,
час,швидкоплинний,9,,
часом,буває,14,98,30
часом,інколи,11,,
часом,сумно,5,,
червоний,колір,28,113,51
червоний,помідор,14,,
червоний,кров,9,,
червоніти,від_сорому,23,113,43
червоніти,сором,12,,
червоніти,соромитися,8,,
чинити,опір,22,113,53
чинити,добро,17,,
чинити,зло,14,,
чинний,закон,39,112,47
чинний,дійсний,4,,
чинний,стан,4,,
чільний,місце,19,112,31
чільний,замок,6,,
чільний,одяг,6,,
чоло,високе,35,110,49
чоло,лоб,9,,
чоло,зморшки,5,,
чоловік,жінка,17,110,28
чоловік,людина,7,,
чоловік,вірний,4,,
чоловічий,одяг,31,113,49
чоловічий,костюм,11,,
чоловічий,характер,7,,
чорний,ворон,15,113,31
чорний,колір,10,,
чорний,кіт,6,,
чорнити,брехати,4,100,11
чорнити,наговорювати,4,,
чорнити,репутацію,3,,
чорніти,земля,13,100,28
чорніти,ніч,9,,
чорніти,від_злості,6,,
чорно,біло,11,98,22
чорно,земля,6,,
чорно,біле,5,,
чужий,свій,14,114,23
чужий,собака,5,,
чужий,дім,4,,
чути,голос,21,100,36
чути,слухати,9,,
чути,вуха,6,,
чутися,добре,18,113,33
чутися,в_силі,8,,
чутися,погано,7,,
чутка,брехня,18,110,39
чутка,плітка,11,,
чутка,плітки,10,,
шлях,дорога,33,110,51
шлях,довгий,11,,
шлях,тернистий,7,,
щасливий,випадок,7,112,19
щасливий,батько,6,,
щасливий,радісний,6,,
щастити,в_житті,9,112,23
щастити,в_усьому,7,,
щастити,завжди,7,,
щастя,радість,28,110,39
щастя,вічне,6,,
щастя,безмежне,5,,
щирий,друг,36,112,49
щирий,добрий,7,,
щирий,товариш,6,,
щирість,відвертість,11,110,26
щирість,доброта,8,,
щирість,правда,7,,
щиро,відверто,6,98,16
щиро,сміятися,6,,
щиро,відповісти,4,,
язик,довгий,31,114,45
язик,розмова,7,,
язик,рот,7,,
як,так,9,114,23
як,ніяк,8,,
як,коли,6,,
ярмо,неволя,17,114,31
ярмо,важке,8,,
ярмо,рабство,6,,
яскравий,колір,15,114,30
яскравий,день,9,,
яскравий,світлий,6,,
ясний,день,42,114,61
ясний,місяць,11,,
ясний,світлий,8,,
